EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
1006|826|1|400137894|NM|F|R|-1|||||
1006|826|1|500000799|NM|F|R|-1|||||
1006|826|1|500001959|NM|F|R|-1|||||
1006|826|1|500003547|NM|F|R|-1|||||
1006|826|1|500010585|NM|F|R|-1|||||
1006|826|1|500012039|NM|F|R|-1|||||
1006|826|1|500017544|NM|F|R|-1|||||
1006|826|1|500017889|NM|F|R|-1|||||
1006|826|1|500032401|NM|F|R|-1|||||
1006|826|1|500032660|NM|F|R|-1|||||
1006|826|1|500033983|NM|F|R|-1|||||
1006|826|1|500034762|NM|F|R|-1|||||
1006|826|1|500035313|O|F|R|-1|||||
1006|826|1|500035400|O|F|R|-1|||||
1006|826|1|500035481|NM|F|R|-1|||||
1006|826|1|500036572|NM|F|R|-1|||||
1006|826|1|500040548|NM|F|R|-1|||||
1006|826|1|500045488|O|F|R|-1|||||
1006|826|1|500051385|O|F|R|-1|||||
1006|826|1|500052642|NM|F|R|-1|||||
1006|826|1|500052686|NM|F|R|-1|||||
1006|826|1|500054721|NM|F|R|-1|||||
1006|826|1|500055099|NM|F|R|-1|||||
1006|826|1|500055691|NM|F|R|-1|||||
1006|826|1|500055998|O|F|R|-1|||||
1006|826|1|500057253|NM|F|R|-1|||||
1006|826|1|500060202|NM|F|R|-1|||||
1006|826|1|500065667|NM|F|R|-1|||||
1006|826|1|500072215|NM|F|R|-1|||||
1006|826|1|500073620|NM|F|R|-1|||||
1006|826|1|500078118|NM|F|R|-1|||||
1006|826|1|500078702|NM|F|R|-1|||||
1006|826|1|500078801|NM|F|R|-1|||||
1006|826|1|500079023|NM|F|R|-1|||||
1006|826|1|500083125|NM|F|R|-1|||||
1006|826|1|500085422|NM|F|R|-1|||||
1006|826|1|500086832|NM|F|R|-1|||||
1006|826|1|500089303|NM|F|R|-1|||||
1006|826|1|500092762|NM|F|R|-1|||||
1006|826|1|500093372|NM|F|R|-1|||||
1006|826|1|500094324|NM|F|R|-1|||||
1006|826|1|500100387|NM|F|R|-1|||||
1006|826|1|500103055|NM|F|R|-1|||||
1006|826|1|500108310|NM|F|R|-1|||||
1006|826|1|500109871|NM|F|R|-1|||||
1006|826|1|500111326|NM|F|R|-1|||||
1006|826|1|500112515|NM|F|R|-1|||||
1006|826|1|500113216|NM|F|R|-1|||||
1006|826|1|500118188|NM|F|R|-1|||||
1006|826|1|500118480|NM|F|R|-1|||||
1006|826|1|500127978|NM|F|R|-1|||||
1006|826|1|500132362|NM|F|R|-1|||||
1006|826|1|500134842|NM|F|R|-1|||||
1006|826|1|500134844|O|F|R|-1|||||
1006|826|1|500135292|NM|F|R|-1|||||
1006|826|1|500136695|NM|F|R|-1|||||
1006|826|1|500140139|NM|F|R|-1|||||
1006|826|1|500141836|NM|F|R|-1|||||
1006|826|1|500144026|NM|F|R|-1|||||
1006|826|1|500145086|NM|F|R|-1|||||
1006|826|1|500150052|NM|F|R|-1|||||
1006|826|1|500150845|NM|F|R|-1|||||
1006|826|1|500152490|NM|F|R|-1|||||
1006|826|1|500157020|NM|F|R|-1|||||
1006|826|1|500158595|NM|F|R|-1|||||
1006|826|1|500160438|NM|F|R|-1|||||
1006|826|1|500161136|NM|F|R|-1|||||
1006|826|1|500165006|NM|F|R|-1|||||
1006|826|1|500165154|NM|F|R|-1|||||
1006|826|1|500167623|NM|F|R|-1|||||
1006|826|1|500167817|NM|F|R|-1|||||
1006|826|1|500168670|NM|F|R|-1|||||
1006|826|1|500170337|NM|F|R|-1|||||
1006|826|1|500170377|NM|F|R|-1|||||
1006|826|1|500171295|NM|F|R|-1|||||
1006|826|1|500171320|O|F|R|-1|||||
1006|826|1|500172224|NM|F|R|-1|||||
1006|826|1|500174104|NM|F|R|-1|||||
1006|826|1|500177344|NM|F|R|-1|||||
1006|826|1|500177575|NM|F|R|-1|||||
1006|826|1|500183080|NM|F|R|-1|||||
1006|826|1|500183408|NM|F|R|-1|||||
1006|826|1|500186046|NM|F|R|-1|||||
1006|826|1|500186409|NM|F|R|-1|||||
1006|826|1|500186738|NM|F|R|-1|||||
1006|826|1|500187745|NM|F|R|-1|||||
1006|826|1|500189117|NM|F|R|-1|||||
1006|826|1|500194363|O|F|R|-1|||||
1006|826|1|500194804|NM|F|R|-1|||||
1006|826|1|500195083|NM|F|R|-1|||||
1006|826|1|500200744|NM|F|R|-1|||||
1006|826|1|500202661|NM|F|R|-1|||||
1006|826|1|500203874|NM|F|R|-1|||||
1006|826|1|500204663|NM|F|R|-1|||||
1006|826|1|500207440|NM|F|R|-1|||||
1006|826|1|500214393|NM|F|R|-1|||||
1006|826|1|500214576|NM|F|R|-1|||||
1006|826|1|510010044|NM|F|R|-1|||||
1006|826|1|510013165|NM|F|R|-1|||||
1006|826|1|510014991|NM|F|R|-1|||||
1006|826|1|510016195|NM|F|R|-1|||||
1006|826|1|510016804|NM|F|R|-1|||||
1006|826|1|510018770|O|F|R|-1|||||
1006|826|1|510020764|NM|F|R|-1|||||
1006|826|1|510021893|NM|F|R|-1|||||
1006|826|1|510029289|NM|F|R|-1|||||
1006|826|1|510029999|NM|F|R|-1|||||
1006|826|1|510031737|NM|F|R|-1|||||
1006|826|1|510032964|NM|F|R|-1|||||
1006|826|1|510033468|NM|F|R|-1|||||
1006|826|1|510035682|NM|F|R|-1|||||
1006|826|1|510039100|NM|F|R|-1|||||
1006|826|1|510041119|NM|F|R|-1|||||
1006|826|1|510045619|NM|F|R|-1|||||
1006|826|1|510050098|NM|F|R|-1|||||
1006|826|1|510052419|NM|F|R|-1|||||
1006|826|1|510055047|NM|F|R|-1|||||
1006|826|1|510059553|NM|F|R|-1|||||
1006|826|1|510060570|NM|F|R|-1|||||
1006|826|1|510063527|NM|F|R|-1|||||
1006|826|1|510069193|NM|F|R|-1|||||
1006|826|1|510069494|O|F|R|-1|||||
1006|826|1|510075353|NM|F|R|-1|||||
1006|826|1|510079978|NM|F|R|-1|||||
1006|826|1|510080649|NM|F|R|-1|||||
1006|826|1|510081281|NM|F|R|-1|||||
1006|826|1|510082537|NM|F|R|-1|||||
1006|826|1|510084528|NM|F|R|-1|||||
1006|826|1|510087681|NM|F|R|-1|||||
1006|826|1|510090725|NM|F|R|-1|||||
1006|826|1|510092946|NM|F|R|-1|||||
1006|826|1|510094149|NM|F|R|-1|||||
1006|826|1|510096606|NM|F|R|-1|||||
1006|826|1|510107421|NM|F|R|-1|||||
1006|826|1|510111251|NM|F|R|-1|||||
1006|826|1|510112654|NM|F|R|-1|||||
1006|826|1|510122053|NM|F|R|-1|||||
1006|826|1|510123069|NM|F|R|-1|||||
1006|826|1|510125387|NM|F|R|-1|||||
1006|826|1|510132169|NM|F|R|-1|||||
1006|826|1|510133297|NM|F|R|-1|||||
1006|826|1|510133561|NM|F|R|-1|||||
1006|826|1|510137536|O|F|R|-1|||||
1006|826|1|510138095|NM|F|R|-1|||||
1006|826|1|510141065|NM|F|R|-1|||||
1006|826|1|510142368|NM|F|R|-1|||||
1006|826|1|510142571|O|F|R|-1|||||
1006|826|1|510143571|NM|F|R|-1|||||
1006|826|1|510144139|NM|F|R|-1|||||
1006|826|1|510146492|NM|F|R|-1|||||
1006|826|1|510147210|NM|F|R|-1|||||
1006|826|1|510147388|NM|F|R|-1|||||
1006|826|1|510148555|NM|F|R|-1|||||
1006|826|1|510148787|NM|F|R|-1|||||
1006|826|1|510149887|NM|F|R|-1|||||
1006|826|1|510157536|NM|F|R|-1|||||
1006|826|1|510157691|NM|F|R|-1|||||
1006|826|1|510158623|NM|F|R|-1|||||
1006|826|1|510162883|NM|F|R|-1|||||
1006|826|1|510166266|NM|F|R|-1|||||
1006|826|1|510167988|NM|F|R|-1|||||
1006|826|1|510169559|NM|F|R|-1|||||
1006|826|1|510170285|NM|F|R|-1|||||
1006|826|1|510170392|NM|F|R|-1|||||
1006|826|1|510173717|NM|F|R|-1|||||
1006|826|1|510173966|NM|F|R|-1|||||
1006|826|1|510176180|NM|F|R|-1|||||
1006|826|1|510182648|NM|F|R|-1|||||
1006|826|1|510183943|NM|F|R|-1|||||
1006|826|1|510188505|NM|F|R|-1|||||
1006|826|1|510192065|NM|F|R|-1|||||
1006|826|1|510193526|NM|F|R|-1|||||
1006|826|1|510196082|NM|F|R|-1|||||
1006|826|1|510196394|NM|F|R|-1|||||
1006|826|1|510207575|NM|F|R|-1|||||
1006|826|1|510211467|NM|F|R|-1|||||
1006|826|1|510215549|NM|F|R|-1|||||
1006|826|1|510221707|NM|F|R|-1|||||
1006|826|1|510221887|NM|F|R|-1|||||
1006|826|1|510223615|NM|F|R|-1|||||
1006|826|1|510225450|NM|F|R|-1|||||
1006|826|1|510230531|NM|F|R|-1|||||
1006|826|1|510230562|NM|F|R|-1|||||
1006|826|1|510235968|NM|F|R|-1|||||
1006|826|1|510238074|NM|F|R|-1|||||
1006|826|1|510238797|NM|F|R|-1|||||
1006|826|1|510240825|NM|F|R|-1|||||
1006|826|1|510242015|O|F|R|-1|||||
1006|826|1|510245773|NM|F|R|-1|||||
1006|826|1|510247655|NM|F|R|-1|||||
1006|826|1|510249880|NM|F|R|-1|||||
1006|826|1|510251360|NM|F|R|-1|||||
1006|826|1|510251934|NM|F|R|-1|||||
1006|826|1|510252005|NM|F|R|-1|||||
1006|826|1|510256702|NM|F|R|-1|||||
1006|826|1|510259936|NM|F|R|-1|||||
1006|826|1|510260439|NM|F|R|-1|||||
1006|826|1|510261283|NM|F|R|-1|||||
1006|826|1|510263493|NM|F|R|-1|||||
1006|826|1|510265885|NM|F|R|-1|||||
1006|826|1|510269523|O|F|R|-1|||||
1006|826|1|510270108|NM|F|R|-1|||||
1006|826|1|510272589|NM|F|R|-1|||||
1006|826|1|510273825|NM|F|R|-1|||||
1006|826|1|510273976|O|F|R|-1|||||
1006|826|1|510276955|NM|F|R|-1|||||
1006|826|1|510277886|NM|F|R|-1|||||
1006|826|1|510278232|NM|F|R|-1|||||
1006|826|1|510279737|NM|F|R|-1|||||
1006|826|1|510281092|NM|F|R|-1|||||
1006|826|1|510281481|NM|F|R|-1|||||
1006|826|1|510284794|NM|F|R|-1|||||
1006|826|1|510285218|NM|F|R|-1|||||
1006|826|1|510287367|NM|F|R|-1|||||
1006|826|1|510289845|NM|F|R|-1|||||
1006|826|1|510290108|NM|F|R|-1|||||
1006|826|1|510292370|NM|F|R|-1|||||
1006|826|1|510293814|NM|F|R|-1|||||
1006|826|1|510298667|NM|F|R|-1|||||
1006|826|1|510298872|NM|F|R|-1|||||
1006|826|1|510298895|NM|F|R|-1|||||
1006|826|1|510300152|NM|F|R|-1|||||
1006|826|1|510303416|NM|F|R|-1|||||
1006|826|1|510303992|NM|F|R|-1|||||
1006|826|1|510305961|NM|F|R|-1|||||
1006|826|1|510306747|NM|F|R|-1|||||
1006|826|1|510306822|NM|F|R|-1|||||
1006|826|1|510307520|NM|F|R|-1|||||
1006|826|1|510307752|NM|F|R|-1|||||
1006|826|1|510310136|NM|F|R|-1|||||
1006|826|1|510316304|NM|F|R|-1|||||
1006|826|1|510316529|NM|F|R|-1|||||
1006|826|1|510317425|NM|F|R|-1|||||
1006|826|1|510319937|NM|F|R|-1|||||
1006|826|1|510323231|NM|F|R|-1|||||
1006|826|1|510324041|NM|F|R|-1|||||
1006|826|1|510328181|NM|F|R|-1|||||
1006|826|1|510329175|NM|F|R|-1|||||
1006|826|1|510330217|NM|F|R|-1|||||
1006|826|1|510331510|O|F|R|-1|||||
1006|826|1|510334157|NM|F|R|-1|||||
1006|826|1|510334299|NM|F|R|-1|||||
1006|826|1|510336832|NM|F|R|-1|||||
1006|826|1|510338250|NM|F|R|-1|||||
1006|826|1|510345237|NM|F|R|-1|||||
1006|826|1|510347129|NM|F|R|-1|||||
1006|826|1|510349005|NM|F|R|-1|||||
1006|826|1|510350714|NM|F|R|-1|||||
1006|826|1|510351527|NM|F|R|-1|||||
1006|826|1|510351817|NM|F|R|-1|||||
1006|826|1|510353598|NM|F|R|-1|||||
