EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
1003|825|1|100002509|NM|P||-1|||You have already passed this exam||
1003|825|1|100004399|NM|P||-1|||You have already passed this exam||
1003|825|1|100019909|O|P||-1|||You have already passed this exam||
1003|825|1|100022557|NM|P||-1|||You have already passed this exam||
1003|825|1|100030497|NM|P||-1|||You have already passed this exam||
1003|825|1|100034709|O|P||-1|||You have already passed this exam||
1003|825|1|100037676|NM|P||-1|||You have already passed this exam||
1003|825|1|100052369|NM|P||-1|||You have already passed this exam||
1003|825|1|100052421|NM|P||-1|||You have already passed this exam||
1003|825|1|100057679|NM|P||-1|||You have already passed this exam||
1003|825|1|100058569|NM|P||-1|||You have already passed this exam||
1003|825|1|100060431|NM|P||-1|||You have already passed this exam||
1003|825|1|100066963|NM|P||-1|||You have already passed this exam||
1003|825|1|100067924|NM|P||-1|||You have already passed this exam||
1003|825|1|100069482|NM|P||-1|||You have already passed this exam||
1003|825|1|100085459|NM|P||-1|||You have already passed this exam||
1003|825|1|100085833|NM|P||-1|||You have already passed this exam||
1003|825|1|100096425|NM|P||-1|||You have already passed this exam||
1003|825|1|100096452|NM|P||-1|||You have already passed this exam||
1003|825|1|100096523|NM|P||-1|||You have already passed this exam||
1003|825|1|100096579|NM|P||-1|||You have already passed this exam||
1003|825|1|100098930|NM|P||-1|||You have already passed this exam||
1003|825|1|100099141|NM|P||-1|||You have already passed this exam||
1003|825|1|200011977|NM|P||-1|||You have already passed this exam||
1003|825|1|200013701|NM|P||-1|||You have already passed this exam||
1003|825|1|200020321|O|P||-1|||You have already passed this exam||
1003|825|1|200023403|O|P||-1|||You have already passed this exam||
1003|825|1|200025462|O|P||-1|||You have already passed this exam||
1003|825|1|200029381|NM|P||-1|||You have already passed this exam||
1003|825|1|200034345|NM|P||-1|||You have already passed this exam||
1003|825|1|200037221|NM|P||-1|||You have already passed this exam||
1003|825|1|200047728|NM|P||-1|||You have already passed this exam||
1003|825|1|200050062|NM|P||-1|||You have already passed this exam||
1003|825|1|200051373|NM|P||-1|||You have already passed this exam||
1003|825|1|200051918|O|P||-1|||You have already passed this exam||
1003|825|1|200053369|O|P||-1|||You have already passed this exam||
1003|825|1|200056182|O|P||-1|||You have already passed this exam||
1003|825|1|200065181|NM|P||-1|||You have already passed this exam||
1003|825|1|200071170|O|P||-1|||You have already passed this exam||
1003|825|1|200086092|O|P||-1|||You have already passed this exam||
1003|825|1|200086511|NM|P||-1|||You have already passed this exam||
1003|825|1|200087483|NM|P||-1|||You have already passed this exam||
1003|825|1|200088631|NM|P||-1|||You have already passed this exam||
1003|825|1|200089648|O|P||-1|||You have already passed this exam||
1003|825|1|300014784|NM|P||-1|||You have already passed this exam||
1003|825|1|300024987|NM|P||-1|||You have already passed this exam||
1003|825|1|300042724|NM|P||-1|||You have already passed this exam||
1003|825|1|300044068|NM|P||-1|||You have already passed this exam||
