500001574|1027|125|1|532|58|P|2025-06-02
500003692|1027|125|1|532|49|F|2025-06-02
500016300|1027|125|1|532|51|P|2025-06-02
500025228|1027|125|1|532|49|F|2025-06-02
500028408|1027|125|1|532|47|F|2025-06-02
500051446|1027|125|1|532|0|A|2025-06-02
500062273|1027|125|1|532|0|A|2025-06-02
500092224|1027|125|1|532|54|P|2025-06-02
500101843|1027|125|1|532|34|F|2025-06-02
500102405|1027|125|1|532|36|F|2025-06-02
500112251|1027|125|1|532|37|F|2025-06-02
500117766|1027|125|1|532|0|A|2025-06-02
500119479|1027|125|1|532|45|F|2025-06-02
500153456|1027|125|1|532|0|A|2025-06-02
500181114|1027|125|1|532|43|F|2025-06-02
500187936|1027|125|1|532|56|P|2025-06-02
500188862|1027|125|1|532|50|P|2025-06-02
500198839|1027|125|1|532|51|P|2025-06-02
500205711|1027|125|1|532|47|F|2025-06-02
500208208|1027|125|1|532|0|A|2025-06-02
500215200|1027|125|1|532|0|A|2025-06-02
510001039|1027|125|1|532|61|P|2025-06-02
510020267|1027|125|1|532|42|F|2025-06-02
510021647|1027|125|1|532|41|F|2025-06-02
510035650|1027|125|1|532|0|A|2025-06-02
510045003|1027|125|1|532|45|F|2025-06-02
510045145|1027|125|1|532|45|F|2025-06-02
510053230|1027|125|1|532|0|A|2025-06-02
510064981|1027|125|1|532|0|A|2025-06-02
510074094|1027|125|1|532|0|A|2025-06-02
510075033|1027|125|1|532|48|F|2025-06-02
510076477|1027|125|1|532|51|P|2025-06-02
510077032|1027|125|1|532|40|F|2025-06-02
510083232|1027|125|1|532|52|P|2025-06-02
510083956|1027|125|1|532|0|A|2025-06-02
510085357|1027|125|1|532|40|F|2025-06-02
510086139|1027|125|1|532|0|A|2025-06-02
510095599|1027|125|1|532|34|F|2025-06-02
510096113|1027|125|1|532|0|A|2025-06-02
510098445|1027|125|1|532|41|F|2025-06-02
510119670|1027|125|1|532|0|A|2025-06-02
510137850|1027|125|1|532|51|P|2025-06-02
510139972|1027|125|1|532|34|F|2025-06-02
510146251|1027|125|1|532|0|A|2025-06-02
510151569|1027|125|1|532|0|F|2025-06-02
510153428|1027|125|1|532|30|F|2025-06-02
510154100|1027|125|1|532|49|F|2025-06-02
510158097|1027|125|1|532|0|A|2025-06-02
510160532|1027|125|1|532|0|A|2025-06-02
510174713|1027|125|1|532|0|A|2025-06-02
510178010|1027|125|1|532|39|F|2025-06-02
510178791|1027|125|1|532|0|A|2025-06-02
510184282|1027|125|1|532|0|A|2025-06-02
510184906|1027|125|1|532|43|F|2025-06-02
510186829|1027|125|1|532|0|A|2025-06-02
510187765|1027|125|1|532|0|A|2025-06-02
510188662|1027|125|1|532|0|A|2025-06-02
510189110|1027|125|1|532|0|A|2025-06-02
510194302|1027|125|1|532|48|F|2025-06-02
510204786|1027|125|1|532|43|F|2025-06-02
510206240|1027|125|1|532|0|A|2025-06-02
510208221|1027|125|1|532|0|A|2025-06-02
510209249|1027|125|1|532|0|A|2025-06-02
510209896|1027|125|1|532|0|A|2025-06-02
510211774|1027|125|1|532|37|F|2025-06-02
