EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
508|123|1|500019327|O|P||-1|||You have already passed this exam||
508|123|1|500019790|O|P||-1|||You have already passed this exam||
508|123|1|500020569|O|P||-1|||You have already passed this exam||
508|123|1|500021501|O|P||-1|||You have already passed this exam||
508|123|1|500021894|O|P||-1|||You have already passed this exam||
508|123|1|500023220|O|P||-1|||You have already passed this exam||
508|123|1|500025685|O|P||-1|||You have already passed this exam||
508|123|1|500025728|O|P||-1|||You have already passed this exam||
508|123|1|500025885|O|P||-1|||You have already passed this exam||
508|123|1|500027293|O|P||-1|||You have already passed this exam||
508|123|1|500027492|O|P||-1|||You have already passed this exam||
508|123|1|500027809|O|P||-1|||You have already passed this exam||
508|123|1|500028187|O|P||-1|||You have already passed this exam||
508|123|1|500030114|O|P||-1|||You have already passed this exam||
508|123|1|500031372|O|P||-1|||You have already passed this exam||
508|123|1|500031758|O|P||-1|||You have already passed this exam||
508|123|1|500031905|O|P||-1|||You have already passed this exam||
508|123|1|500032120|O|P||-1|||You have already passed this exam||
508|123|1|500032150|O|P||-1|||You have already passed this exam||
508|123|1|500032616|O|P||-1|||You have already passed this exam||
508|123|1|500033051|O|P||-1|||You have already passed this exam||
508|123|1|500033068|O|P||-1|||You have already passed this exam||
508|123|1|500033887|O|P||-1|||You have already passed this exam||
508|123|1|500034158|O|P||-1|||You have already passed this exam||
508|123|1|500035333|O|P||-1|||You have already passed this exam||
508|123|1|500035754|O|P||-1|||You have already passed this exam||
508|123|1|500035873|O|P||-1|||You have already passed this exam||
508|123|1|500036602|O|P||-1|||You have already passed this exam||
508|123|1|500037555|O|P||-1|||You have already passed this exam||
508|123|1|500039991|O|P||-1|||You have already passed this exam||
508|123|1|500040819|O|P||-1|||You have already passed this exam||
508|123|1|500042453|O|P||-1|||You have already passed this exam||
508|123|1|500044020|O|P||-1|||You have already passed this exam||
508|123|1|500044226|O|P||-1|||You have already passed this exam||
508|123|1|500044566|O|P||-1|||You have already passed this exam||
508|123|1|500045665|O|P||-1|||You have already passed this exam||
508|123|1|500047169|O|P||-1|||You have already passed this exam||
508|123|1|500050679|O|P||-1|||You have already passed this exam||
508|123|1|500051420|O|P||-1|||You have already passed this exam||
508|123|1|500051553|O|P||-1|||You have already passed this exam||
508|123|1|500051620|O|P||-1|||You have already passed this exam||
508|123|1|500051700|O|P||-1|||You have already passed this exam||
508|123|1|500051813|O|P||-1|||You have already passed this exam||
508|123|1|500053486|O|P||-1|||You have already passed this exam||
508|123|1|500053728|O|P||-1|||You have already passed this exam||
508|123|1|500054226|O|P||-1|||You have already passed this exam||
508|123|1|500054636|O|P||-1|||You have already passed this exam||
508|123|1|500056330|O|P||-1|||You have already passed this exam||
508|123|1|500056695|O|P||-1|||You have already passed this exam||
508|123|1|500057607|O|P||-1|||You have already passed this exam||
508|123|1|500058515|O|P||-1|||You have already passed this exam||
508|123|1|500059327|O|P||-1|||You have already passed this exam||
508|123|1|500059889|O|P||-1|||You have already passed this exam||
508|123|1|500060041|O|P||-1|||You have already passed this exam||
508|123|1|500061431|O|P||-1|||You have already passed this exam||
508|123|1|500062124|O|P||-1|||You have already passed this exam||
508|123|1|500066649|O|P||-1|||You have already passed this exam||
508|123|1|500069120|O|P||-1|||You have already passed this exam||
508|123|1|500070714|O|P||-1|||You have already passed this exam||
508|123|1|500071518|O|P||-1|||You have already passed this exam||
508|123|1|500073555|O|P||-1|||You have already passed this exam||
508|123|1|500076019|O|P||-1|||You have already passed this exam||
508|123|1|500076874|O|P||-1|||You have already passed this exam||
508|123|1|500077506|O|P||-1|||You have already passed this exam||
508|123|1|500078470|O|P||-1|||You have already passed this exam||
508|123|1|500080445|O|P||-1|||You have already passed this exam||
508|123|1|500080550|O|P||-1|||You have already passed this exam||
508|123|1|500080731|O|P||-1|||You have already passed this exam||
508|123|1|500081593|O|P||-1|||You have already passed this exam||
508|123|1|500081784|O|P||-1|||You have already passed this exam||
508|123|1|500082225|O|P||-1|||You have already passed this exam||
508|123|1|500082656|O|P||-1|||You have already passed this exam||
508|123|1|500083158|O|P||-1|||You have already passed this exam||
508|123|1|500083375|O|P||-1|||You have already passed this exam||
508|123|1|500083575|O|P||-1|||You have already passed this exam||
508|123|1|500085815|O|P||-1|||You have already passed this exam||
508|123|1|500086722|O|P||-1|||You have already passed this exam||
508|123|1|500088087|O|P||-1|||You have already passed this exam||
508|123|1|500088327|O|P||-1|||You have already passed this exam||
508|123|1|500088655|O|P||-1|||You have already passed this exam||
508|123|1|500088758|O|P||-1|||You have already passed this exam||
508|123|1|500089440|O|P||-1|||You have already passed this exam||
508|123|1|500089557|O|P||-1|||You have already passed this exam||
508|123|1|500089559|O|P||-1|||You have already passed this exam||
508|123|1|500091057|O|P||-1|||You have already passed this exam||
508|123|1|500092038|O|P||-1|||You have already passed this exam||
508|123|1|500092050|O|P||-1|||You have already passed this exam||
508|123|1|500092861|O|P||-1|||You have already passed this exam||
508|123|1|500093180|O|P||-1|||You have already passed this exam||
508|123|1|500093649|O|P||-1|||You have already passed this exam||
508|123|1|500093839|O|P||-1|||You have already passed this exam||
508|123|1|500093877|O|P||-1|||You have already passed this exam||
508|123|1|500094202|O|P||-1|||You have already passed this exam||
508|123|1|500094324|O|P||-1|||You have already passed this exam||
508|123|1|500094952|O|P||-1|||You have already passed this exam||
508|123|1|500095517|O|P||-1|||You have already passed this exam||
508|123|1|500095939|O|P||-1|||You have already passed this exam||
508|123|1|500095950|O|P||-1|||You have already passed this exam||
508|123|1|500096611|O|P||-1|||You have already passed this exam||
508|123|1|500096657|O|P||-1|||You have already passed this exam||
508|123|1|500096807|O|P||-1|||You have already passed this exam||
508|123|1|500097000|O|P||-1|||You have already passed this exam||
508|123|1|500097212|O|P||-1|||You have already passed this exam||
508|123|1|500098031|O|P||-1|||You have already passed this exam||
508|123|1|500099463|O|P||-1|||You have already passed this exam||
508|123|1|500099562|O|P||-1|||You have already passed this exam||
508|123|1|500099602|O|P||-1|||You have already passed this exam||
508|123|1|500099902|O|P||-1|||You have already passed this exam||
508|123|1|500100444|O|P||-1|||You have already passed this exam||
508|123|1|500101208|O|P||-1|||You have already passed this exam||
508|123|1|500101531|O|P||-1|||You have already passed this exam||
508|123|1|500102763|O|P||-1|||You have already passed this exam||
508|123|1|500105429|O|P||-1|||You have already passed this exam||
508|123|1|500105546|O|P||-1|||You have already passed this exam||
508|123|1|500106118|O|P||-1|||You have already passed this exam||
508|123|1|500106398|O|P||-1|||You have already passed this exam||
508|123|1|500106468|O|P||-1|||You have already passed this exam||
508|123|1|500106577|O|P||-1|||You have already passed this exam||
508|123|1|500107060|O|P||-1|||You have already passed this exam||
508|123|1|500107314|O|P||-1|||You have already passed this exam||
508|123|1|500107327|O|P||-1|||You have already passed this exam||
508|123|1|500107337|O|P||-1|||You have already passed this exam||
508|123|1|500107613|O|P||-1|||You have already passed this exam||
508|123|1|500107915|O|P||-1|||You have already passed this exam||
508|123|1|500109720|O|P||-1|||You have already passed this exam||
508|123|1|500109876|O|P||-1|||You have already passed this exam||
508|123|1|500110670|O|P||-1|||You have already passed this exam||
508|123|1|500110705|O|P||-1|||You have already passed this exam||
508|123|1|500110774|O|P||-1|||You have already passed this exam||
508|123|1|500113818|O|P||-1|||You have already passed this exam||
508|123|1|500114811|O|P||-1|||You have already passed this exam||
508|123|1|500114839|O|P||-1|||You have already passed this exam||
508|123|1|500115409|O|P||-1|||You have already passed this exam||
508|123|1|500115912|O|P||-1|||You have already passed this exam||
508|123|1|500116121|O|P||-1|||You have already passed this exam||
508|123|1|500116604|O|P||-1|||You have already passed this exam||
508|123|1|500116858|O|P||-1|||You have already passed this exam||
508|123|1|500117183|O|P||-1|||You have already passed this exam||
508|123|1|500117213|O|P||-1|||You have already passed this exam||
508|123|1|500117416|O|P||-1|||You have already passed this exam||
508|123|1|500118442|O|P||-1|||You have already passed this exam||
508|123|1|500118651|O|P||-1|||You have already passed this exam||
